PostalZIP Code,Type,Common Cities,County,CensusZip,Popn 2010,,
90650,Standard,Norwalk,Los Angeles County,90650,105549,,
90011,Standard,Los Angeles,Los Angeles County,90011,103892,,
91331,Standard,"Pacoima, Arleta, Hansen Hills",Los Angeles County,91331,103689,,
90201,Standard,"Bell Gardens, Bell, Cudahy",Los Angeles County,90201,101279,,
92335,,,,92335,95397,,
90280,Standard,South Gate,Los Angeles County,90280,94396,,
90805,Standard,"Long Beach, Lakewood",Los Angeles County,90805,93524,,
90250,Standard,"Hawthorne, Holly Park, Hollyglen",Los Angeles County,90250,93193,,
91342,Standard,"Sylmar, Kagel Canyon, Lake View Ter, Lake View T...",Los Angeles County,91342,91725,,
90044,Standard,"Los Angeles, August F. Haw",Los Angeles County,90044,89779,,
92683,Standard,Westminster,Orange County,92683,89747,,
92336,Standard,Fontana,San Bernardino County,92336,88419,,
92704,Standard,Santa Ana,Orange County,92704,88123,,
92804,Standard,Anaheim,Orange County,92804,85914,,
91744,Standard,"La Puente, City Industry, City Of Industry",Los Angeles County,91744,85040,,
94565,Standard,"Pittsburg, Bay Point",Contra Costa County,94565,84641,,
92503,Standard,Riverside,Riverside County,92503,84519,,
91910,Standard,Chula Vista,San Diego County,91911,82999,,
93033,Standard,Oxnard,Ventura County,93033,82728,,
93307,Standard,Bakersfield,Kern County,93307,82658,,
95076,Standard,"Watsonville, Corralitos, La Selva Bch, La Selva Beach...",Santa Cruz County,95076,82474,,
92376,Standard,Rialto,San Bernardino County,92376,81516,,
91710,Standard,"Chino, Montclair, Ontario",San Bernardino County,91710,80358,,
92154,Standard,San Diego,San Diego County,92154,79708,,
94112,Standard,San Francisco,San Francisco County,94112,79407,,
92345,Standard,Hesperia,San Bernardino County,92345,78715,,
90706,Standard,Bellflower,Los Angeles County,90706,76615,,
91706,Standard,"Baldwin Park, Irwindale",Los Angeles County,91706,76571,,
93722,Standard,Fresno,Fresno County,93722,76448,,
91906,Standard,Campo,San Diego County,91910,75802,,
92509,Standard,"Riverside, Jurupa Valley",Riverside County,92509,75196,,
90255,Standard,"Huntington Park, Huntington Pk, Walnut Park",Los Angeles County,90255,75066,,
93257,Standard,"Porterville, Poplar, Woodville",Tulare County,93257,75004,,
93550,Standard,"Palmdale, Lake La, Lake Los Angeles",Los Angeles County,93550,74929,,
91709,Standard,Chino Hills,San Bernardino County,91709,74796,,
91335,Standard,"Reseda, Tarzana",Los Angeles County,91335,74363,,
95823,Standard,Sacramento,Sacramento County,95823,73985,,
92553,Standard,Moreno Valley,Riverside County,92553,73722,,
92126,Standard,San Diego,San Diego County,92126,73343,,
94544,Standard,Hayward,Alameda County,94544,73026,,
93065,Standard,Simi Valley,Ventura County,93065,72508,,
92592,Standard,Temecula,Riverside County,92592,72492,,
95630,Standard,Folsom,Sacramento County,95630,72180,,
93535,Standard,"Lancaster, Hi Vista, Lake La, Lake Los Angeles",Los Angeles County,93535,72046,,
93727,Standard,Fresno,Fresno County,93727,71820,,
91766,Standard,"Pomona, Phillips Ranch, Phillips Rnch",Los Angeles County,91766,71599,,
93536,Standard,"Lancaster, Del Sur, Quartz Hill",Los Angeles County,93536,70918,,
92805,Standard,Anaheim,Orange County,92805,70401,,
91402,Standard,"Panorama City, Van Nuys",Los Angeles County,91402,69817,,
92105,Standard,San Diego,San Diego County,92105,69813,,
90262,Standard,Lynwood,Los Angeles County,90262,69745,,
93274,Standard,Tulare,Tulare County,93274,69721,,
94587,Standard,Union City,Alameda County,94587,69516,,
94110,Standard,San Francisco,San Francisco County,94110,69333,,
94533,Standard,Fairfield,Solano County,94533,69277,,
94536,Standard,Fremont,Alameda County,94536,68790,,
92882,Standard,Corona,Riverside County,92882,67917,,
90026,Standard,Los Angeles,Los Angeles County,90026,67869,,
90631,Standard,"La Habra, La Habra Heights, La Habra Hgts",Orange County,90631,67619,,
90022,Standard,"Los Angeles, Commerce, East Los Angeles, Est Ls Angls",Los Angeles County,90022,67179,,
95035,Standard,Milpitas,Santa Clara County,95035,66943,,
91730,Standard,"Rancho Cucamonga, Rch Cucamonga",San Bernardino County,91730,66925,,
94558,Standard,"Napa, Spanish Flat",Napa County,94558,66830,,
90003,Standard,Los Angeles,Los Angeles County,90003,66266,,
92703,Standard,Santa Ana,Orange County,92703,65445,,
92114,Standard,San Diego,San Diego County,92114,65433,,
93230,Standard,Hanford,Kings County,93230,65264,,
95687,Standard,Vacaville,Solano County,95687,65096,,
92021,Standard,El Cajon,San Diego County,92021,65068,,
95206,Standard,Stockton,San Joaquin County,95206,65004,,
93306,Standard,Bakersfield,Kern County,93306,64587,,
90019,Standard,Los Angeles,Los Angeles County,90019,64458,,
94080,Standard,"South San Francisco, S San Fran",San Mateo County,94080,63975,,
92677,Standard,"Laguna Niguel, Laguna Beach",Orange County,92677,63297,,
90660,Standard,Pico Rivera,Los Angeles County,90660,62928,,
90640,Standard,Montebello,Los Angeles County,90640,62549,,
94509,Standard,Antioch,Contra Costa County,94509,62439,,
90042,Standard,"Los Angeles, Highland Park",Los Angeles County,90042,62430,,
90037,Standard,Los Angeles,Los Angeles County,90037,62276,,
95123,Standard,San Jose,Santa Clara County,95123,62228,,
90004,Standard,"Los Angeles, Oakwood",Los Angeles County,90004,62180,,
91770,Standard,Rosemead,Los Angeles County,91770,62097,,
92562,Standard,Murrieta,Riverside County,92562,62079,,
92801,Standard,Anaheim,Orange County,92801,62068,,
95624,Standard,Elk Grove,Sacramento County,95624,61989,,
92197,Standard,San Diego,San Diego County,92201,61827,,
94541,Standard,Hayward,Alameda County,94541,61635,,
92627,Standard,Costa Mesa,Orange County,92627,61510,,
91732,Standard,"El Monte, City Industry, City Of Industry",Los Angeles County,91732,61386,,
95127,Standard,San Jose,Santa Clara County,95127,61325,,
94538,Standard,Fremont,Alameda County,94538,61148,,
93905,Standard,Salinas,Monterey County,93905,61087,,
94015,Standard,"Daly City, Broadmoor Vlg",San Mateo County,94015,60927,,
95014,Standard,"Cupertino, Monte Vista, Permanente",Santa Clara County,95014,60717,,
95758,Standard,Elk Grove,Sacramento County,95758,60435,,
91950,Standard,National City,San Diego County,91950,60322,,
91343,Standard,"North Hills, Northridge, Sepulveda",Los Angeles County,91343,60254,,
94501,Standard,Alameda,Alameda County,94501,60212,,
94806,Standard,"San Pablo, Hilltop Mall, Richmond",Contra Costa County,94806,59861,,
91702,Standard,"Azusa, Irwindale",Los Angeles County,91702,59705,,
90731,Standard,San Pedro,Los Angeles County,90731,59662,,
92707,Standard,Santa Ana,Orange County,92707,59492,,
93906,Standard,Salinas,Monterey County,93906,59461,,
95608,Standard,Carmichael,Sacramento County,95608,59418,,
93030,Standard,Oxnard,Ventura County,93030,59372,,
90006,Standard,Los Angeles,Los Angeles County,90006,59185,,
92630,Standard,"Lake Forest, El Toro",Orange County,92630,59182,,
90813,Standard,Long Beach,Los Angeles County,90813,58911,,
92880,Standard,"Corona, Eastvale",Riverside County,92880,58763,,
92115,Standard,San Diego,San Diego County,92115,58560,,
95111,Standard,San Jose,Santa Clara County,95111,58466,,
93309,Standard,Bakersfield,Kern County,93309,58409,,
91977,Standard,Spring Valley,San Diego County,91977,58368,,
95355,Standard,Modesto,Stanislaus County,95355,58311,,
92404,Standard,"San Bernardino, Sn Bernrdno",San Bernardino County,92404,58271,,
92507,Standard,Riverside,Riverside County,92507,58002,,
90034,Standard,Los Angeles,Los Angeles County,90034,57964,,
95828,Standard,Sacramento,Sacramento County,95828,57862,,
92020,Standard,El Cajon,San Diego County,92020,57767,,
92780,Standard,Tustin,Orange County,92780,57741,,
95020,Standard,Gilroy,Santa Clara County,95020,57349,,
90745,Standard,"Carson, Long Beach",Los Angeles County,90745,57251,,
92647,Standard,"Huntington Beach, Huntingtn Bch",Orange County,92647,57245,,
90001,Standard,"Los Angeles, Firestone Park, Firestone Pk",Los Angeles County,90001,57110,,
91761,Standard,Ontario,San Bernardino County,91761,56913,,
93312,Standard,Bakersfield,Kern County,93312,56741,,
92407,Standard,"San Bernardino, Arrowhead Farms, Arrowhed Farm, Devore H...",San Bernardino County,92407,56689,,
95122,Standard,San Jose,Santa Clara County,95122,56545,,
92323,Standard,Cima,San Bernardino County,92324,56505,,
91605,Standard,"North Hollywood, N Hollywood",Los Angeles County,91605,56343,,
92113,Standard,San Diego,San Diego County,92113,56066,,
94122,Standard,San Francisco,San Francisco County,94122,56023,,
92708,Standard,"Fountain Valley, Fountain Vly, Santa Ana",Orange County,92708,56004,,
94109,Standard,San Francisco,San Francisco County,94109,55984,,
95112,Standard,San Jose,Santa Clara County,95112,55927,,
91762,Standard,"Ontario, Montclair",San Bernardino County,91762,55857,,
90063,Standard,"Los Angeles, Hazard",Los Angeles County,90063,55758,,
93215,Standard,Delano,Kern County,93215,55659,,
93458,Standard,Santa Maria,Santa Barbara County,93458,55431,,
90066,Standard,Los Angeles,Los Angeles County,90066,55277,,
92646,Standard,"Huntington Beach, Huntingtn Bch",Orange County,92646,55224,,
92346,Standard,Highland,San Bernardino County,92346,54923,,
92392,Standard,Victorville,San Bernardino County,92392,54858,,
94513,Standard,Brentwood,Contra Costa County,94513,54605,,
93063,Standard,"Simi Valley, Santa Susana",Ventura County,93063,54366,,
95051,Standard,Santa Clara,Santa Clara County,95051,54327,,
94087,Standard,Sunnyvale,Santa Clara County,94087,54293,,
90723,Standard,Paramount,Los Angeles County,90723,54099,,
92057,Standard,Oceanside,San Diego County,92057,54096,,
91764,Standard,Ontario,San Bernardino County,91764,54086,,
