search_zip_code,name,street_address,city_name,state_name,result_zip_code,
90004,76,1000 S Vermont Ave,Los Angeles,CA,90006,
90710,$1.00 & Discount Mart,2056 Pacific Ave,Long Beach,CA,90806,
93204,1 Stop Store,703 Spring St,Paso Robles,CA,93446,
95531,101 Laundromat & Drycleaners,503 L St,Crescent City,CA,95531,
94901,19 Broadway Bar & Night Club,17 Broadway Blvd,Fairfax,CA,94930,
94508,440 Club,434 College Ave,Santa Rosa,CA,95401,
90720,49rs Tavern,5660 E Pacific Coast Hwy,Long Beach,CA,90814,
95009,4th St Chevron,147 E Santa Clara St,San Jose,CA,95113,
92310,7 Days Liquor,1001 E Williams St,Barstow,CA,92311,
90247,7 Stories Down,4201 Torrance Blvd,Torrance,CA,90503,
90001,7-Eleven,11400 Atlantic Blvd,Lynwood,CA,90262,
90001,7-Eleven,1800 E Olympic Blvd,Los Angeles,CA,90021,
90001,7-Eleven,2321 E Florence Ave,Huntington Park,CA,90255,
90001,7-Eleven,7625 Eastern Ave,Bell Gardens,CA,90201,
90001,7-Eleven,5401 S Figueroa St,Los Angeles,CA,90037,
90001,7-Eleven,501 West El Segundo Blvd,Los Angeles,CA,90061,
90001,7-Eleven,6224 Pacific Blvd,Huntington Beach,CA,90255,
90001,7-Eleven,728 W Vernon Ave,Los Angeles,CA,90037,
90001,7-Eleven,3330 W Florence Avenue,Los Angeles,CA,90043,
90001,7-Eleven,4965 E Florence Ave,Bell,CA,90201,
90001,7-Eleven,5800 S Atlantic,Maywood,CA,90270,
90001,7-Eleven,3601 E Slauson Avenue,Maywood,CA,90270,
90001,7-Eleven,2614 N Wilmington Ave,Compton,CA,90222,
90001,7-Eleven,500 W 7th St,Los Angeles,CA,90014,
90001,7-Eleven,8708 Atlantic Blvd,South Gate,CA,90280,
90001,7-Eleven,4383 Tweedy Blvd,South Gate,CA,90280,
90001,7-Eleven,2292 Firestone Blvd,Los Angeles,CA,90002,
90001,7-Eleven,11255 S Normandie Ave,Los Angeles,CA,90044,
90001,7-Eleven,9703 State St,South Gate,CA,90280,
90001,7-Eleven,2811 Firestone Blvd,South Gate,CA,90280,
90001,7-Eleven,1241 W Washington Blvd,Los Angeles,CA,90007,
90001,7-Eleven,240 W Adams,Los Angeles,CA,90007,
90001,7-Eleven,1754 W Slauson Ave,Los Angeles,CA,90047,
90001,7-Eleven,2512 S Figueroa St,Los Angeles,CA,90007,
90001,7-Eleven,3507-11 Liberty Blvd,South Gate,CA,90280,
90001,7-Eleven,733 W Washington Blvd,Montebello,CA,90640,
90001,7-Eleven,7120 Atlantic Blvd,Bell,CA,90201,
90001,7-Eleven,301 E Florence Ave,Los Angeles,CA,90003,
90001,7-Eleven,2251 W Rosecrans Ave,Compton,CA,90222,
90001,7-Eleven,10648 Atlantic Blvd,Lynwood,CA,90262,
90001,7-Eleven,2902 E Florence Ave,Huntington Park,CA,90255,
90001,7-Eleven,1800 E Slauson Ave,Los Angeles,CA,90058,
90001,7-Eleven,861 W Rosecrans Ave,Compton,CA,90221,
90001,7-Eleven,3018 W Manchester Blvd,Inglewood,CA,90305,
90001,7-Eleven,4051 Leimert Blvd,Los Angeles,CA,90008,
90001,7-Eleven,1900 S San Pedro St,Los Angeles,CA,90011,
90001,7-Eleven,2582 E Slauson Ave,Huntington Park,CA,90255,
90001,7-Eleven,3974 S Figueroa St,Los Angeles,CA,90037,
90001,7-Eleven,3791 Martin Luther King Jr Blvd,Lynwood,CA,90262,
90001,7-Eleven,3311 W Century Blvd,Inglewood,CA,90303,
90001,7-Eleven,8600 S Central Ave,Los Angeles,CA,90002,
90001,7-Eleven,7117 Vermont Ave,Los Angeles,CA,90044,
90002,7-Eleven,14219 S Western Ave,Gardena,CA,90249,
90002,7-Eleven,307 W Compton Blvd,Compton,CA,90220,
90002,7-Eleven,6012 E Florence Ave,Bell Gardens,CA,90201,
90002,7-Eleven,1151 Redondo Beach Blvd,Gardena,CA,90247,
90002,7-Eleven,1560 S Long Beach Blvd,Compton,CA,90221,
90002,7-Eleven,4417 E Rosecrans Ave,Compton,CA,90221,
90002,7-Eleven,12100 Garfield Ave,South Gate,CA,90280,
90002,7-Eleven,803 W Alondra Blvd,Compton,CA,90220,
90002,7-Eleven,15228 Avalon Blvd,Compton,CA,90220,
90002,7-Eleven,7400 Stewart & Gray Rd,Downey,CA,90241,
90002,7-Eleven,1004 Long Beach Blvd N,Long Beach,CA,90813,
90003,7-Eleven,4299 S Crenshaw Blvd,Los Angeles,CA,90008,
90003,7-Eleven,1100 S La Brea Ave,Inglewood,CA,90301,
90003,7-Eleven,345 W Manchester Blvd,Inglewood,CA,90301,
90003,7-Eleven,3300 W 135th St,Hawthorne,CA,90250,
90003,7-Eleven,3708 W Slauson Ave,Los Angeles,CA,90043,
90003,7-Eleven,913 S Prairie Ave,Inglewood,CA,90301,
90003,7-Eleven,4343 W Slauson Ave,Los Angeles,CA,90043,
90003,7-Eleven,10801 Hawthorne Blvd,Inglewood,CA,90304,
90003,7-Eleven,437 N La Brea Ave,Inglewood,CA,90302,
90004,7-Eleven,1324 W 7th St,Los Angeles,CA,90017,
90004,7-Eleven,7353 Melrose Ave,Los Angeles,CA,90046,
90004,7-Eleven,5076 W Sunset Blvd,Los Angeles,CA,90027,
90004,7-Eleven,6660 W Sunset Blvd,Los Angeles,CA,90028,
90004,7-Eleven,3555 W Temple St,Los Angeles,CA,90004,
90004,7-Eleven,501 S Broadway,Los Angeles,CA,90013,
90004,7-Eleven,473 N Western Ave,Los Angeles,CA,90004,
90004,7-Eleven,4460 Santa Monica Blvd,Los Angeles,CA,90029,
90004,7-Eleven,1463 W 3rd St,Los Angeles,CA,90017,
90004,7-Eleven,4650 Franklin Ave,Los Angeles,CA,90027,
