,PostalZip,Population,PoulationDensity,HousingUnits,MedianHomeValue,LandArea,WaterArea,occupiedHousingUnits,MedianHouseholdIncome,Full.Time,Part.Time,NoEarnings,less10,less20,less30,less40,less50,less65,less75,less100,more100,Revenue,all.point,co.op,moneypass,Revenue.of.these.three.atms,allpoint.revenue,coop.revenue,moneypass.revenue,revenue.per.atm,County,D
1,90650,105549,10761,28083,315500,981,4,27130,60770,33008,17379,31049,8384,9018,8687,7313,5481,5680,1838,2351,1635,7682970,16,15,1,768297,384148.5,360139.2188,24009.28125,24009.28125,Los Angeles County,allpoint
2,90011,103892,24240,23547,269300,429,0,22168,30171,26940,14391,29463,8736,17659,7651,3423,1992,1125,231,250,264,6281980,1,1,1,628198,209399.3333,209399.3333,209399.3333,209399.3333,Los Angeles County,morethan1
3,91331,103689,11713,23780,283000,885,5,22465,51477,27233,18974,28849,9405,12175,9386,6004,3968,2792,986,979,512,6998280,13,12,1,699828,349914,322997.5385,26916.46154,26916.46154,Los Angeles County,allpoint
4,90201,101279,17060,24940,271300,594,11,24104,37267,26357,16864,28799,8664,13497,8993,4812,3558,2234,562,659,242,6610610,8,4,3,661061,352565.8667,176282.9333,132212.2,44070.73333,Los Angeles County,allpoint
5,92335,95397,5506,24246,174000,1733,3,22772,42943,22638,18832,27907,9657,10215,7567,5398,3603,2793,895,848,494,6359390,16,11,4,635939,328226.5806,225655.7742,82056.64516,20514.16129,San Bernardino County,allpoint
6,90280,94396,12922,24160,292100,731,12,23278,42776,26268,16696,28250,8339,11065,8391,6108,3446,3130,798,1119,568,6586400,17,7,1,658640,447875.2,184419.2,26345.6,26345.6,Los Angeles County,allpoint
7,90805,93524,12692,27646,282000,737,17,26056,44070,24666,17631,26534,8814,8842,7423,5037,4245,3884,1157,1816,1079,6399320,11,6,2,639932,370486.9474,202083.7895,67361.26316,33680.63158,Los Angeles County,allpoint
8,90250,93193,13920,32600,397500,670,1,31087,45995,30239,17384,23997,7025,9184,9429,6004,5218,4770,1627,2440,1926,6975040,15,12,0,697504,387502.2222,310001.7778,0,25833.48148,Los Angeles County,allpoint
9,91342,91725,1665,24967,322400,5510,27,23543,59329,25085,17407,25836,7925,8355,7304,5333,3741,4064,1551,2647,1572,6365540,7,5,1,636554,342759.8462,244828.4615,48965.69231,48965.69231,Los Angeles County,allpoint
10,90044,89779,17478,27479,269400,514,0,25144,29870,21203,14812,27826,7713,10678,6936,4516,2569,1909,522,650,522,5674020,3,2,0,567402,340441.2,226960.8,0,113480.4,Los Angeles County,allpoint
11,92683,89747,8975,27713,448400,1000,0,26223,52409,25450,17554,29761,8581,8207,6288,4834,3275,4147,1562,3185,2925,6513420,24,19,8,651342,306513.8824,242656.8235,102171.2941,12771.41176,Orange County,allpoint
12,92336,88419,3555,23271,283700,2487,10,22223,87116,27448,17482,20890,7749,7401,5485,4517,4895,4601,2286,4849,3147,6322300,11,5,4,632230,347726.5,158057.5,126446,31611.5,San Bernardino County,allpoint
